Season,Year,RSCI,First Name,Last Name,Conference,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,AST/TO%,OWS,DWS,WS,WS/40,WS/40 * BPM,OBPM,DBPM,BPM,FT%,3PT%,3PT Confidence,FG% on 2PT Jumpers,% 2PT Jumpers Assisted,Shooting%,FG% at Rim,% at Rim Assisted,Finishing%,Offensive Self Creation
2015-16,4,96,Denzel,Valentine,Big Ten,31,30,1022,29.7,0.608,0.579,0.527,0.214,622,3,21.2,12.8,45.8,1.9,0.7,14.8,28.4,2.84,5,2.2,7.3,0.284,4.686,12.2,4.4,16.5,85.4,44.4,23.3988,41.6,33.3,35.4,60.3,45.5,15.92,47.95
2015-16,1,1,Ben,Simmons,SEC,33,32,1151,29,0.6,0.561,0.008,0.769,674,9.6,26.8,18.2,27.4,3.1,2.5,17.4,26.4,1.42,3.9,2.1,6,0.207,2.4012,6.3,5.3,11.6,67,33.3,0.2664,32.9,31.6,15.21,75.2,48.1,18.91,24.41
2015-16,4,111,Buddy,Hield,Big 12,37,37,1309,28.2,0.665,0.623,0.536,0.333,803,4,13,8.8,12.7,1.8,1.4,14,30.2,0.66,5.6,2,7.6,0.232,2.668,10.3,1.2,11.5,88,45.7,24.4952,36.9,6.5,42.61,64.1,26.3,22.89,74.47
2015-16,1,4,Brandon,Ingram,ACC,36,34,1246,22.5,0.552,0.525,0.403,0.351,591,6,15.5,10.8,11.4,1.9,3.6,11.3,25.6,1,3.4,1.5,4.9,0.157,1.1775,4.6,2.9,7.5,68.2,41,16.523,37.6,17.2,29.49,58.8,15.7,24.01,55.1
2015-16,3,251,DeAndre,Bembry,A-10,36,35,1341,22.3,0.539,0.513,0.258,0.358,641,4.3,17.9,11.3,24.1,2.2,2.5,11.2,24.4,2.21,3.4,2.5,5.8,0.174,1.5834,4.6,4.5,9.1,65.7,26.6,6.8628,33.6,13.5,22.53,69.1,43.5,18.91,36.37
2015-16,2,222,Patrick,McCaw,MWC,33,32,1113,21.3,0.591,0.56,0.515,0.294,482,3.6,12.4,8,22.7,3.9,1.2,14.2,20.3,1.88,2.7,2.2,5,0.179,1.5036,5.1,3.3,8.4,77.4,36.6,18.849,40,33.3,30.07,66.1,36.8,20.24,49.41
2015-16,1,36,Malik,Beasley,ACC,34,33,1014,20.8,0.583,0.541,0.361,0.326,483,5,15.1,10.1,9.8,1.8,0.6,11.5,24.3,0.86,2.9,1.1,4,0.158,0.9006,5,0.7,5.7,81.3,38.7,13.9707,35,16.3,30.8,68,49.5,16.64,40.16
2015-16,1,3,Jaylen,Brown,Pac-12,34,34,939,17.6,0.518,0.471,0.27,0.574,477,4.5,16.5,10.8,15.3,1.7,2.2,17.9,31.4,0.65,1,1.8,2.7,0.117,0.4212,0.3,3.3,3.6,65.4,29.4,7.938,30.1,14.7,20.76,61.6,27.6,21.61,34.95
2015-16,1,29,Malachi,Richardson,ACC,37,37,1272,13.8,0.51,0.465,0.544,0.381,459,1.7,12.1,6.9,12.8,2,0.9,14,23.1,0.97,1.5,1.8,3.3,0.104,0.312,1.5,1.5,3,72,35.3,19.2032,22.5,21.7,22.29,58.1,28,20.27,35.83
2014-15,3,256,RJ,Hunter,Sun Belt,35,35,1294,25.8,0.552,0.473,0.51,0.447,667,2.8,12.5,7.9,20.3,3.6,3.6,11,29.6,1.64,4.4,2.5,6.9,0.215,1.4405,5.4,1.3,6.7,87.8,30.5,15.555,36.6,33.3,29.21,73.3,38.1,21.98,51.43
