Name,Season,Height,Weight,Position,School,Class,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,ORTG,DRTG,AST/TOV,NBA GP,NBA MPG,NBA WS,NBA WSP48,NBA BPM,NBA VORP,NBA PLUSMINUS
Antonio Anderson,2008-09,78,214,SG,Memphis,4,46.0,37,37,1269,,0.534,0.481,0.244,0.464,,,,7.8,23.5,,1.1,19.3,16.9,1.6,3.9,5.5,0.174,,,,,,1.95,1,15.0,0.0,-0.104,-12.4,0.0,-13.5
Kevin Rogers,2008-09,80,225,SF/PF,Baylor,4,55.0,39,39,1285,,0.575,0.5589999999999999,0.006,0.405,,,,,,,,16.9,,2.6,1.8,4.4,0.136,,,,,,0.48,0,0,0,0,0,0,0
Charlie Coley,2008-09,79,220,SF,Charlotte,4,,31,29,908,,0.5,0.479,0.052000000000000005,0.386,,,,12.9,5.8,,3.0,16.4,18.2,0.6,2.2,2.8,0.122,,,,,,0.46,0,0,0,0,0,0,0
Lorrenzo Wade,2008-09,78,226,SG,San Diego State,4,62.0,26,18,812,,0.541,0.495,0.233,0.383,,,,,,,,17.3,,1.7,2.1,3.8,0.185,,,,,,1.0,0,0,0,0,0,0,0
Eric Devendorf,2008-09,76,175,PG/SG,Syracuse,3,33.0,36,28,1220,,0.573,0.5379999999999999,0.483,0.28,,,,,,,,17.8,,2.9,1.1,3.9,0.129,,,,,,1.01,0,0,0,0,0,0,0
Lewis Clinch,2008-09,75,190,SG,Georgia Tech,4,22.0,24,24,832,,0.493,0.473,0.607,0.191,,,,5.4,17.6,,0.4,13.9,24.5,0.6,0.7,1.4,0.066,,,,,,1.18,0,0,0,0,0,0,0
Dar Tucker,2008-09,75,200,SG,DePaul,2,,32,31,1038,,0.488,0.446,0.392,0.35,,,,9.0,11.7,,0.9,12.9,33.8,0.8,1.1,2.0,0.076,,,,,,0.53,0,0,0,0,0,0,0
Connor Atchley,2008-09,82,230,PF,Texas,4,209.0,34,22,619,,0.513,0.471,0.529,0.25,,,,9.6,4.6,,5.8,15.1,14.2,0.4,2.1,2.5,0.16399999999999998,,,,,,0.59,0,0,0,0,0,0,0
John Wall,2009-10,76,196,PG,Kentucky,1,2.0,37,37,1288,,0.562,0.503,0.26,0.53,669.0,2.7,10.1,6.6,34.8,2.9,1.5,21.4,25.7,3.7,2.6,6.3,0.196,,,,,,1.62,604,35.6,44.6,.099,2.4,24.0,+4.2
Evan Turner,2009-10,79,214,SG,Ohio State,3,47.0,31,31,1108,,0.581,0.54,0.12,0.4,682.0,7.3,23.5,15.9,37.5,3.0,2.9,20.0,33.1,4.0,2.8,6.8,0.247,,,,,,1.36,705,26.9,20.2,.051,-1.9,0.5,-4.5
