Name,Height,Weight,Position,School,Class,RSCI
Jeff Allen,6-6,227,SF/PF,Virginia Tech,Sr.,86
Delroy James,6-7,225,SF,Rhode Island,Sr.,
Chaisson Allen,6-5,193,PG/SG,Northeastern,Sr.,
Ben Hansbrough,6-3,203,PG/SG,Notre Dame,Sr.,
Corey Fisher,6-0,202,PG,Villanova,Sr.,22
Randy Culpepper,6-0,160,PG,UTEP,Sr.,
Lavoy Allen,6-9,225,PF,Temple,Sr.,142
Terrence Jennings,6-10,225,PF,Louisville,Jr.,38
Gilbert Brown,6-6,213,SG,Pittsburgh,Sr.,91
Steven Gray,6-4,210,SG,Gonzaga,Sr.,101
Cory Higgins,6-4,180,PG/SG,Colorado,Sr.,
Jacob Pullen,6-0,194,PG/SG,Kansas State,Sr.,153
Sam Muldrow,6-9,213,PF,South Carolina,Sr.,102
Alex Tyus,6-8,207,SF/PF,Florida,Sr.,54
Jeremy Hazell,6-5,185,SG,Seton Hall,Sr.,108
Clarence Jackson,6-4,188,SG,Siena,Sr.,
Ferrakohn Hall,6-8,225,SF/PF,Memphis,Sr.,
Mark Payne,6-7,206,PG/SG,UC Davis,Sr.,
Anthony Davis,6-10,222,PF,Kentucky,Fr.,1
Andre Drummond,6-11,279,PC,UConn,Fr.,2
Harrison Barnes,6-8,228,SF,North Carolina,So.,1
Bradley Beal,6-4,202,SG,Florida,Fr.,4
Jeremy Lamb,6-5,179,SG,UConn,So.,89
Thomas Robinson,6-9,244,PF,Kansas,Jr.,25
Damian Lillard,6-3,189,PG,Weber St.,Jr.,
Michael Kidd-Gilchrist,6-7,233,SF,Kentucky,Fr.,3
Terrence Ross,6-7,197,SG/SF,Washington,So.,32
Austin Rivers,6-5,203,SG,Duke,Fr.,2
Meyers Leonard,7-1,250,C,Illinois,So.,29
Tyler Zeller,7-0,247,PF/C,North Carolina,Sr.,19
Kendall Marshall,6-4,197,PG,North Carolina,So.,28
Moe Harkless,6-8,207,SF,St. Johns,Fr.,43
Andrew Nicholson,6-10,234,PF,St. Bonaventure,Sr.,
Arnett Moultrie,6-11,233,PF,Mississippi St.,Jr.,
Dion Waiters,6-4,215,SG,Syracuse,So.,23
Perry Jones,6-11,234,SF/PF,Baylor,So.,7
Jared Sullinger,6-9,268,PF,Ohio St.,So.,2
John Henson,6-10,216,PF,North Carolina,Jr.,4
Terrence Jones,6-9,252,SF/PF,Kentucky,So.,10
Marquis Teague,6-2,189,PG,Kentucky,Fr.,7
Royce White,6-8,261,SF,Iowa St.,So.,27
John Jenkins,6-4,212,SG,Vanderbilt,Jr.,29
Doron Lamb,6-4,199,SG,Kentucky,So.,25
Quincy Miller,6-10,219,SF,Baylor,Fr.,5
Will Barton,6-6,174,SG/SF,Memphis,So.,9
Khris Middleton,6-8,216,SG/SF,Texas A&M,Jr.,123
Tony Wroten,6-6,203,PG/SG,Washington,Fr.,16
Jeffery Taylor,6-7,213,SF,Vanderbilt,Sr.,
Fab Melo,7-0,255,C,Syracuse,So.,15
Jared Cunningham,6-5,188,SG,Oregon St.,Jr.,139
Festus Ezeli,6-11,264,C,Vanderbilt,Sr.,
Draymond Green,6-7,236,SF/PF,Michigan St.,Sr.,95
Darius Miller,6-7,238,SF,Kentucky,Sr.,36
Kris Joseph,6-7,215,SF,Syracuse,Sr.,59
Kevin Murphy,6-6,195,SG,Tennessee Tech,Sr.,
Kim English,6-6,192,SG,Missouri,Sr.,158
Drew Gordon,6-9,239,PF,New Mexico,Sr.,31
Mike Scott,6-8,237,PF,Virginia,Sr.,130
Darius Johnson-Odom,6-3,212,SG,Marquette,Sr.,
JaMychal Green,6-9,217,PF,Alabama,Sr.,18
William Buford,6-5,215,SG,Ohio St.,Sr.,13
Hollis Thompson,6-8,205,SG,Georgetown,Jr.,66
Kevin Jones,6-7,251,PF,West Virginia,Sr.,50
Quincy Acy,6-8,224,PF,Baylor,Sr.,129
Robert Sacre,6-11,260,C,Gonzaga,Sr.,164
Chris Johnson,6-5,197,SG,Dayton,Sr.,
Alex Young,6-6,216,SG/SF,IUPUI,Sr.,
Maalik Wayns,6-1,205,PG,Villanova,Jr.,21
