Season,Year,RSCI,First Name,Last Name,Conference,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,AST/TO%,OWS,DWS,WS,WS/40,WS/40 * BPM,OBPM,DBPM,BPM,FT%,3PT%,3PT Confidence,FG% on 2PT Jumpers,% 2PT Jumpers Assisted,Shooting%,FG% at Rim,% at Rim Assisted,Finishing%,Offensive Self Creation
2015-16,4,20,Kris,Dunn,Big East,33,32,1088,23.2,0.541,0.499,0.275,0.462,576,3.5,14.7,9,41.8,4.3,1.9,18.8,28,1.78,2.2,2.3,4.5,0.166,1.8758,5.6,5.7,11.3,69.5,37.2,10.23,29.6,20,21.57,62.6,36.3,19.32,34.81
2015-16,1,45,Jamal,Murray,SEC,36,36,1267,22.7,0.59,0.559,0.515,0.283,649,4.9,11.2,8.2,12.1,1.6,0.9,12.1,27.1,0.94,4.4,1.8,6.1,0.194,1.7654,8.1,1.1,9.1,78.3,40.8,21.012,39.1,13.6,36.96,65.5,27.8,22.91,65.39
2015-16,2,120,Wade,Baldwin,SEC,33,30,1002,20.7,0.571,0.492,0.32,0.614,505,1.5,11.6,7,33.7,2.3,1,18.2,25.3,1.89,2.7,1.8,4.5,0.179,1.4678,5.1,3,8.2,79.9,40.6,12.992,35.9,3,34.32,50.4,16.7,20.34,56.14
2015-16,4,174,Caris,Levert,Big Ten,15,14,464,28.8,0.636,0.596,0.401,0.42,253,2.4,18.8,10.6,33.3,2,0.7,11.4,25.6,2.96,2.2,0.7,2.8,0.243,2.8917,9.4,2.5,11.9,79.4,44.6,17.8846,27.3,0,30.62,77.4,29.3,26.51,66.8
2015-16,1,43,Dejounte,Murray,Pac-12,34,34,1139,16.8,0.485,0.451,0.243,0.342,565,4.1,13.7,8.8,25.6,2.8,0.8,16.3,25.9,1.37,1.2,1.6,2.8,0.098,0.4214,1.8,2.5,4.3,66.3,28.8,6.9984,34,15.2,22.61,58.6,32.4,19.19,35.28
2015-16,2,18,Tyler,Ulis,SEC,35,35,1288,23.9,0.567,0.497,0.362,0.441,666,1.7,7.1,4.6,34.3,2.3,0.3,11.4,23.2,3.57,5.4,1.7,7.1,0.221,2.1216,8.5,1,9.6,85.6,34.4,12.4528,44.7,5.6,42.35,57.8,4.2,26.83,92.36
2015-16,4,87,Malcolm,Brogdon,ACC,37,37,1263,25.1,0.585,0.532,0.382,0.31,627,2.1,13.3,7.9,19.5,1.8,0.9,8.3,28.4,2.21,4.9,2.1,7,0.222,2.4642,8.5,2.6,11.1,89.7,39.1,14.9362,,,,,,,N/A
2014-15,1,16,D'Angelo,Russell,Big Ten,35,34,1188,26.6,0.573,0.541,0.449,0.303,671,3.6,15.4,9.8,30.1,2.8,1.1,14.8,30.2,1.72,4.4,2.4,6.8,0.229,2.6793,8.7,3,11.7,75.6,41.1,18.4539,38.7,24.6,31.29,62.2,34.8,19.65,49.55
2014-15,2,18,Terry,Rozier,ACC,36,35,1260,22.1,0.509,0.457,0.301,0.338,591,3.8,13.9,8.8,19.7,3.5,0.5,11.6,27.8,1.37,3,3,6,0.191,1.6044,4.7,3.7,8.4,79,30.6,9.2106,39.7,6.7,33.87,55,20.8,21.1,56.34
2014-15,4,111,Jerian,Grant,ACC,38,38,1408,25.5,0.592,0.536,0.37,0.511,706,1.3,8.3,5.1,33.6,2.8,1.4,13.4,24.2,3.09,6.1,1.6,7.7,0.218,1.9402,8,0.9,8.9,78,31.6,11.692,40.3,17.3,31.84,73.1,24.2,26.84,70.27
2014-15,2,261,Delon,Wright,Pac-12,35,35,1165,29.2,0.619,0.549,0.225,0.565,558,4,13.7,9.3,33,4,3.2,14.2,22.8,2.62,5.3,3.1,8.4,0.289,4.6818,8.8,7.4,16.2,83.6,35.6,8.01,40.4,2.6,36.9,64.3,13.9,26.82,79.46
2014-15,1,6,Tyus,Jones,ACC,39,39,1322,20.4,0.575,0.489,0.383,0.5,532,1.8,9.9,6.1,27.5,2.7,0.2,15.9,18.7,2.86,4.4,2.1,6.5,0.196,1.8424,6.6,2.8,9.4,88.9,37.9,14.5157,36.1,7,37.1,55.6,24.4,20.36,62.37
2014-15,5,104,Joseph,Young,Pac-12,36,35,1322,23.2,0.568,0.524,0.431,0.226,701,1.7,11.6,6.9,21.3,1.8,0.1,11.7,28.7,1.55,4.4,1.2,5.6,0.17,1.037,6.7,-0.7,6.1,92.5,35.7,15.3867,43.9,23.3,38.84,62.4,34.1,19.92,61.13
2014-15,5,254,TJ,McConnell,Pac-12,38,38,1158,22.9,0.57,0.538,0.249,0.224,476,2.8,12.5,7.8,39,4.3,0.3,18.4,18.9,3.05,3.5,3,6.5,0.224,2.8448,7,5.7,12.7,82.9,32.1,7.9929,48.6,11.3,39.73,67.4,18.3,26.68,85.6
2014-15,4,29,Quinn,Cook,ACC,39,39,1396,19.7,0.609,0.569,0.588,0.251,544,1.4,9.2,5.5,13.2,1.7,0.1,8.7,20,2.19,4.9,1.9,6.8,0.194,1.8624,8.2,1.5,9.6,89.1,39.5,23.226,39.8,11.4,43.03,66.7,43.5,18.26,63.31
