Name,Season,Height,Weight,Position,School,Class,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,ORTG,DRTG,AST/TOV,NBA GP,NBA MPG,NBA WS,NBA WSP48,NBA BPM,NBA VORP,NBA PLUSMINUS
Tyrese Rice,2008-09,6-0,190,PG,Boston College,Sr.,,33.0,33.0,1101,,0.5710000000000001,0.491,0.449,0.513,,,,6.5,32.0,,0.5,20.4,27.2,3.0,1.6,4.6,0.168,,,,,,1.41,0,0,0,0,0,0,0
DeMarre Carroll,2008-09,6-8,207,SF/PF,Missouri,Sr.,137.0,38.0,38.0,1064,,0.591,0.5760000000000001,0.1,0.433,,,,13.9,15.2,,1.8,9.5,25.9,3.6,3.6,7.2,0.271,,,,,,1.46,575,23.7,29.4,.104,0.0,6.7,+3.2
Wesley Matthews,2008-09,6-5,215,SG,Marquette,Sr.,64.0,35.0,35.0,1191,,0.607,0.527,0.281,0.633,,,,9.9,14.8,,1.2,13.4,25.1,4.1,2.3,6.4,0.214,,,,,,1.05,786,31.9,50.9,.097,0.1,13.2,+2.0
Jodie Meeks,2008-09,6-4,211,SG,Kentucky,Jr.,58.0,36.0,36.0,1237,,0.629,0.5660000000000001,0.507,0.412,,,,5.7,11.7,,0.3,12.4,30.9,6.3,1.1,7.4,0.24,,,,,,0.66,539,22.5,24.3,.096,-0.6,4.2,-2.2
Terrel Harris,2008-09,6-4,190,SG,Oklahoma State,Sr.,69.0,35.0,35.0,1110,,0.608,0.5710000000000001,0.439,0.35200000000000004,,,,8.5,11.6,,0.9,13.9,20.6,3.0,1.3,4.3,0.154,,,,,,1.03,42,10.8,-0.6,-0.059,-7.3,-0.6,-12.5
Chris Johnson,2008-09,6-11,205,PF/C,LSU,Sr.,275.0,35.0,35.0,883,,0.499,0.456,0.021,0.318,,,,15.8,8.5,,8.3,17.3,18.3,0.5,3.6,4.1,0.188,,,,,,0.72,71,8.4,1.5,.120,-1.7,0.0,-9.3
AJ Price,2008-09,6-2,193,PG,UConn,Sr.,32.0,35.0,35.0,1112,,0.5379999999999999,0.506,0.489,0.309,,,,5.8,28.2,,0.0,16.4,25.1,2.1,1.9,4.0,0.14400000000000002,,,,,,1.74,0,0,0,0,0,0,0
Courtney Fells,2008-09,6-6,210,SG,NC State,Sr.,35.0,27.0,26.0,800,,0.58,0.5529999999999999,0.444,0.173,,,,7.1,10.1,,2.0,14.9,19.9,1.7,0.7,2.4,0.122,,,,,,0.87,0,0,0,0,0,0,0
Alonzo Gee,2008-09,6-6,219,SG,Alabama,Sr.,55.0,32.0,32.0,1027,,0.506,0.476,0.18600000000000005,0.405,,,,11.9,8.3,,1.5,13.3,25.4,1.1,1.9,3.0,0.116,,,,,,0.56,417,21.8,9.7,.051,-2.2,-0.4,-3.4
Alex Ruoff,2008-09,6-6,220,SG,West Virginia,Sr.,,33.0,33.0,1176,,0.584,0.544,0.615,0.32299999999999995,,,,5.7,19.4,,0.8,13.5,21.5,3.2,2.9,6.1,0.209,,,,,,1.62,21,4.8,0.1,.054,-5.8,-0.1,-7.7
Paul Harris,2008-09,6-4,220,SG/SF,Syracuse,Jr.,10.0,37.0,36.0,1130,,0.568,0.51,0.141,0.5379999999999999,,,,,,,,16.6,,2.2,2.1,4.3,0.151,,,,,,1.03,0,0,0,0,0,0,0
Chinemelu Elonu,2008-09,6-10,235,PF,Texas A&M,Jr.,,34.0,30.0,810,,0.664,0.665,0.0,0.624,,,,,,,,19.8,,2.9,2.2,5.1,0.252,,,,,,0.16,0,0,0,0,0,0,0
Jon Brockman,2008-09,6-7,255,PF,Washington,Sr.,19.0,34.0,34.0,1036,,0.557,0.526,0.003,0.546,,,,,,,,12.5,,2.3,2.8,5.1,0.197,,,,,,0.6,0,0,0,0,0,0,0
Jack McClinton,2008-09,6-1,185,SG,Miami,Sr.,,32.0,31.0,1030,,0.608,0.563,0.501,0.294,,,,5.2,21.0,,0.1,14.2,28.3,4.2,1.3,5.5,0.214,,,,,,1.08,150,10.5,3.7,.113,-3.9,-0.8,+4.3
Stefon Jackson,2008-09,6-5,185,SG,UTEP,Sr.,,37.0,37.0,1336,,0.542,0.452,0.158,0.5670000000000001,,,,,,,,8.5,,3.5,1.8,5.3,0.159,,,,,,0.91,0,0,0,0,0,0,0
Alade Aminu,2008-09,6-10,220,SF/PF,Georgia Tech,Sr.,79.0,31.0,19.0,843,,0.535,0.522,0.0,0.327,,,,15.7,5.4,,5.0,15.5,22.4,1.3,2.4,3.7,0.174,,,,,,0.33,0,0,0,0,0,0,0
Josh Akognon,2008-09,5-11,185,PG,Cal State Fullerton,Sr.,,32.0,32.0,1140,,0.555,0.511,0.5920000000000001,0.239,,,,,,,,10.9,,3.4,0.6,4.0,0.14,,,,,,0.61,0,0,0,0,0,0,0
Brandon Costner,2008-09,6-8,230,SF,NC State,Jr.,20.0,30.0,30.0,849,,0.5760000000000001,0.535,0.413,0.42,,,,12.6,17.4,,2.6,19.6,26.1,2.2,1.0,3.2,0.15,,,,,,0.85,3,3.0,0.0,.196,-3.0,0.0,-30.6
Lester Hudson,2008-09,6-3,190,PG/SG,UT-Martin,Sr.,,32.0,32.0,1153,,0.5660000000000001,0.525,0.429,0.241,,,,12.2,27.5,,1.2,12.0,36.4,4.3,3.3,7.6,0.263,,,,,,1.27,0,0,0,0,0,0,0
Robert Vaden,2008-09,6-5,205,SG,UAB,Sr.,32.0,34.0,34.0,1240,,0.527,0.504,0.621,0.192,,,,8.0,11.9,,1.4,12.9,27.5,2.1,2.4,4.5,0.146,,,,,,0.83,57,10.4,0.2,.016,-2.1,0.0,+0.3
Micah Downs,2008-09,6-7,180,SG/SF,Gonzaga,Sr.,22.0,34.0,23.0,866,,0.5720000000000001,0.528,0.504,0.325,,,,10.0,7.7,,1.5,8.4,18.2,1.7,2.0,3.7,0.171,,,,,,1.5,0,0,0,0,0,0,0
