Name,Season,Height,Weight,Position,School,Class,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,ORTG,DRTG,AST/TOV,NBA GP,NBA MPG,NBA WS,NBA WSP48,NBA BPM,NBA VORP,NBA PLUSMINUS,Tensorflow,LogReg,GBM
Yves Pons,2020-21,78,215,SF/PF,Tennessee,4,127.0,26,26,740,16.0,0.5379999999999999,0.51,0.321,0.19699999999999998,211.0,6.5,14.7,10.6,5.0,1.3,7.4,11.3,16.2,1.1,1.6,2.7,0.147,1.6,4.0,5.5,109.3,93.1,0.7,?,?,?,?,?,?,?,3.5665325e-06,0,0
Will Richardson,2020-21,77,180,PG,Oregon,3,46.0,15,15,529,14.9,0.5760000000000001,0.545,0.439,0.318,186.0,2.7,10.0,6.4,19.6,1.7,0.0,20.0,19.3,1.0,0.5,1.5,0.11599999999999999,2.1,0.7,2.8,109.2,105.1,1.53,?,?,?,?,?,?,?,0.12514618,0,0
Tre Mann,2020-21,77,190,PG,Florida,2,21.0,24,24,777,21.1,0.579,0.536,0.386,0.307,382.0,2.6,16.9,10.2,21.9,2.4,0.4,17.0,25.8,2.2,1.2,3.3,0.172,5.0,2.0,7.0,111.7,99.6,1.22,?,?,?,?,?,?,?,0.6169898,1,0
Jalen Wilson,2020-21,80,215,SF,Kansas,1,53.0,29,26,822,18.0,0.517,0.48700000000000004,0.44,0.436,347.0,8.6,22.7,15.6,13.6,0.8,1.2,14.5,23.3,1.6,1.4,3.0,0.145,4.1,1.8,5.9,106.0,97.3,1.04,?,?,?,?,?,?,?,0.00010868051,1,0
Anton Watson,2020-21,80,225,SF/PF,Gonzaga,2,48.0,28,17,550,20.7,0.6559999999999999,0.6459999999999999,0.149,0.373,204.0,6.3,14.0,10.5,9.2,3.2,3.3,13.7,15.7,1.6,1.4,3.0,0.217,4.0,4.9,8.9,127.6,89.8,1.4,?,?,?,?,?,?,?,0.0005607307,1,0
Feron Hunt,2020-21,80,195,SF,SMU,3,194.0,16,16,451,20.5,0.608,0.58,0.2,0.36,163.0,8.5,22.4,15.7,4.3,2.1,3.5,16.5,19.1,0.9,1.0,1.9,0.16899999999999998,3.7,2.1,5.8,111.7,92.6,0.34,?,?,?,?,?,?,?,9.33853e-06,0,0
Marcus Garrett,2020-21,77,195,PG/SG,Kansas,4,55.0,29,29,956,16.7,0.545,0.5,0.256,0.307,330.0,2.1,13.5,7.8,20.8,2.8,1.2,16.1,18.0,1.7,1.8,3.5,0.147,1.9,4.2,6.1,109.7,96.3,1.89,?,?,?,?,?,?,?,0.022771448,0,0
John Petty,2020-21,77,185,SG,Alabama,4,33.0,31,30,960,16.0,0.56,0.5429999999999999,0.636,0.19,359.0,3.1,13.8,8.5,11.2,2.2,1.8,15.0,19.5,1.7,1.9,3.6,0.152,3.2,3.8,7.0,108.8,94.7,0.98,?,?,?,?,?,?,?,0.01216957,0,0
AJ Green,2020-21,76,190,SG,Northern Iowa,3,81.0,3,3,109,22.5,0.569,0.563,0.48200000000000004,0.107,58.0,3.1,15.4,9.1,18.3,2.1,2.2,15.7,32.9,0.2,0.1,0.3,0.11599999999999999,5.5,-0.3,5.2,100.4,102.6,0.73,?,?,?,?,?,?,?,0.00040960312,0,0
Jason Preston,2020-21,76,185,PG,Ohio,3,88.2103487064117,20,20,691,24.0,0.583,0.579,0.332,0.19,352.0,3.6,20.6,12.2,38.6,2.3,0.8,18.2,23.4,2.2,1.0,3.2,0.18600000000000005,5.4,1.8,7.2,115.1,100.0,2.42,?,?,?,?,?,?,?,0.00825873,1,0
Brady Manek,2020-21,81,230,PF,Oklahoma,4,117.0,25,20,628,18.5,0.539,0.523,0.54,0.127,246.0,5.6,16.9,11.2,6.7,1.2,3.3,8.1,22.1,1.4,0.8,2.2,0.139,4.3,0.7,5.0,110.5,101.5,0.95,?,?,?,?,?,?,?,1.9700208e-06,0,0
Michael Devoe,2020-21,77,195,PG/SG,Georgia Tech,3,51.0,26,26,909,18.3,0.581,0.5539999999999999,0.48700000000000004,0.272,380.0,2.5,13.2,7.8,18.3,2.1,0.9,16.8,23.6,1.9,1.0,2.8,0.125,4.5,0.5,5.0,107.4,104.2,1.29,?,?,?,?,?,?,?,0.01945424,0,0
Sam Hauser,2020-21,80,220,SF,Virginia,4,83.0,25,25,856,25.2,0.635,0.611,0.517,0.16399999999999998,357.0,3.4,21.6,13.1,11.6,1.1,1.4,7.6,23.7,3.3,1.2,4.6,0.213,8.1,2.0,10.1,125.1,100.4,1.73,?,?,?,?,?,?,?,1.0673055e-05,0,0
Derrick Alston,2020-21,81,190,SG/SF,Boise State,4,88.2103487064117,28,28,910,19.3,0.586,0.54,0.503,0.314,436.0,2.2,11.0,6.7,13.7,1.3,0.8,14.1,26.3,2.4,1.4,3.8,0.168,4.6,0.4,5.0,110.9,99.2,0.91,?,?,?,?,?,?,?,0.00015696883,0,0
Sandro Mamukelashvili,2020-21,83,240,PF,Seton Hall,4,199.0,27,27,961,20.2,0.525,0.488,0.32299999999999995,0.344,470.0,6.1,18.5,12.4,20.6,1.8,1.7,16.5,28.8,1.8,1.3,3.1,0.127,4.9,1.2,6.2,102.7,101.6,0.98,?,?,?,?,?,?,?,0.0003516376,0,0
Neemias Queta,2020-21,84,245,C,Utah State,3,88.2103487064117,29,29,871,30.5,0.5920000000000001,0.5589999999999999,0.006999999999999999,0.46799999999999997,426.0,10.8,27.0,19.0,18.6,2.0,13.2,15.9,24.3,2.8,2.9,5.8,0.265,5.2,6.9,12.1,116.4,80.6,1.12,?,?,?,?,?,?,?,7.640706e-06,0,1
Aaron Wiggins,2020-21,78,200,SG,Maryland,3,42.0,31,30,1023,19.9,0.55,0.523,0.4320000000000001,0.214,441.0,4.4,16.1,10.6,17.3,2.1,2.0,13.0,25.4,2.1,1.6,3.7,0.145,4.9,2.1,7.0,106.1,99.2,1.3,?,?,?,?,?,?,?,0.010107309,0,0
Scottie Lewis,2020-21,77,190,SG/SF,Florida,2,7.0,21,9,538,14.5,0.535,0.5,0.344,0.43,166.0,4.0,9.8,7.1,10.4,3.5,4.4,20.2,18.0,0.5,0.9,1.4,0.10400000000000001,1.3,4.5,5.8,100.2,98.1,0.79,?,?,?,?,?,?,?,0.9575131,0,0
Derek Culver,2020-21,82,255,C,West Virginia,3,84.0,29,28,763,23.5,0.517,0.478,0.0,0.596,398.0,11.5,29.0,19.9,9.1,1.8,3.5,14.0,29.1,1.7,1.4,3.1,0.163,3.1,1.3,4.4,105.3,96.1,0.49,?,?,?,?,?,?,?,3.0805643e-07,0,0
Myles Cale,2020-21,78,210,SG,Seton Hall,4,92.0,27,27,833,15.1,0.56,0.5379999999999999,0.484,0.23,274.0,3.0,10.5,6.8,6.0,1.9,0.3,10.0,19.1,1.6,0.8,2.4,0.114,2.8,1.2,4.0,111.2,105.4,0.77,?,?,?,?,?,?,?,1.9996296e-05,0,0
Landers Nolley,2020-21,79,220,SG,Memphis,2,67.0,27,24,738,16.0,0.547,0.518,0.55,0.205,318.0,3.6,12.8,8.2,13.0,2.3,0.6,16.2,25.1,1.2,1.8,2.9,0.159,2.8,2.3,5.1,103.1,90.7,0.75,?,?,?,?,?,?,?,0.0006097257,0,0
Courtney Ramey,2020-21,75,185,PG,Texas,3,43.0,26,26,870,13.8,0.52,0.47200000000000003,0.431,0.28600000000000003,337.0,2.3,8.0,5.3,22.4,1.7,0.4,17.8,21.4,1.5,1.1,2.6,0.11800000000000001,2.5,1.4,3.8,105.2,101.9,1.55,?,?,?,?,?,?,?,0.33624554,0,0
Boogie Ellis,2020-21,75,180,PG,Memphis,2,38.0,27,14,623,13.6,0.519,0.5,0.556,0.258,231.0,1.2,8.4,4.9,11.8,2.6,1.1,12.8,22.1,0.8,1.4,2.3,0.146,1.0,3.0,3.9,102.7,91.3,1.03,?,?,?,?,?,?,?,0.08083004,0,0
Trendon Watford,2020-21,81,240,SF,LSU,2,18.0,28,28,968,20.1,0.536,0.506,0.161,0.429,462.0,5.4,16.7,11.3,15.6,1.8,2.0,14.8,24.6,2.2,1.1,3.3,0.136,4.2,0.9,5.1,108.3,103.7,1.11,?,?,?,?,?,?,?,0.27095562,0,0
Luka Garza,2020-21,83,265,C,Iowa,4,118.0,31,31,975,35.5,0.62,0.596,0.19699999999999998,0.392,655.0,10.5,18.3,14.6,12.2,1.2,5.3,7.2,32.5,5.5,1.4,6.9,0.282,11.9,1.8,13.7,127.3,100.5,1.15,?,?,?,?,?,?,?,2.5087709e-06,0,1
Orlando Robinson,2020-21,84,235,C,Fresno State,2,365.0,24,24,765,21.2,0.53,0.47200000000000003,0.17,0.53,359.0,10.0,24.3,17.1,15.6,1.7,3.0,18.5,27.5,1.4,1.3,2.7,0.141,2.3,0.3,2.6,103.0,98.1,0.67,?,?,?,?,?,?,?,0.0017264787,0,0
