RealGM ID,Name,School,Season,Height,Age,RSCI,n_opp,sq_ppp,blk,stl,oreb,dreb,rim_freq,rim_sq,three_freq,three_sq,tov_freq,spacing,passing,Win Shares,NBA Minutes
28957,Markus Kennedy,SMU,2016,81,24.9,107.0,283,37,93,59,87,85,82,92,16,74,41,18,73,2.83,0.0
54847,Chinanu Onuaku,UL,2016,81,19.7,68.0,304,54,99,71,98,98,86,95,11,74,13,13,62,4.25,36.6
43395,Demetrius Jackson,ND,2016,73,21.8,34.0,564,57,68,96,61,72,36,64,58,41,65,95,98,4.71,45.5
24274,Ryan Arcidiacono,VIL,2016,75,22.3,57.0,470,82,25,99,31,77,28,44,79,78,74,98,96,6.2,744.4
53231,Jakob Poeltl,UT,2016,84,20.7,100.0,539,99,99,66,99,100,84,100,5,5,57,5,72,6.98,1401.3
24260,Daniel Ochefu,VIL,2016,83,22.5,49.0,329,94,98,81,90,99,80,92,11,21,44,11,68,5.43,74.9
42379,Damian Jones,VAN,2016,84,21.0,87.0,451,87,98,23,95,95,74,95,13,66,60,16,52,3.91,505.5
24262,Marcus Paige,UNC,2016,72,22.8,30.0,429,83,78,95,38,54,12,23,88,67,90,94,92,4.27,28.0
31229,Damion Lee,UL,2016,77,23.7,247.0,467,90,20,96,48,77,40,59,74,50,86,88,74,5.26,907.5
30538,Ron Baker,WSU,2016,76,23.3,400.0,439,79,84,98,27,93,27,40,73,54,85,86,90,6.12,464.6
44077,Denzel Valentine,MSU,2016,77,22.6,112.0,569,90,57,87,49,100,10,24,79,99,52,100,100,7.59,963.5
41364,Ben Simmons,LSU,2016,82,19.9,1.0,647,83,91,100,99,100,71,97,12,48,32,16,98,6.12,2331.6
42307,Mike Tobey,UV,2016,84,21.7,78.0,246,91,87,31,93,82,98,98,20,42,88,21,18,3.18,25.2
33381,Domantas Sabonis,ZAG,2016,83,20.2,200.0,517,83,90,54,99,100,72,94,18,87,32,26,70,7.6,1968.0
24177,Marshall Plumlee,DUK,2016,85,24.0,64.0,290,97,99,85,100,99,100,100,7,7,55,6,48,4.63,111.0
45041,Joel Bolomboy,WBS,2016,81,22.4,400.0,412,82,93,45,96,100,75,92,26,64,39,45,45,6.55,45.1
24662,Danuel House,TAM,2016,78,23.1,26.0,589,67,70,60,74,91,46,74,78,20,86,93,75,4.2,825.7
79866,Aubrey Dawkins,UM,2016,78,21.1,396.0,201,97,47,51,45,49,66,57,88,97,83,83,24,2.22,0.0
24658,Brice Johnson,UNC,2016,82,22.0,45.0,565,99,99,96,100,100,83,100,2,2,76,8,57,7.81,53.6
31849,Thomas Walkup,SFA,2016,76,23.5,400.0,451,99,76,99,87,87,57,81,23,35,92,29,96,8.79,0.0
28798,Shawn Long,LAL,2016,81,23.4,400.0,600,75,99,65,100,100,86,100,25,27,51,38,57,5.82,233.6
31320,Abdel Nader,ISU,2016,78,22.8,243.0,463,70,88,88,53,95,44,62,60,80,36,90,63,2.94,516.5
56701,Tim Quarterman,LSU,2016,78,21.7,71.0,399,57,76,88,83,80,47,62,68,64,63,83,92,2.98,46.4
24168,Michael Gbinije,SYR,2016,78,24.1,28.0,672,59,76,100,72,83,37,69,67,78,42,98,97,5.87,31.6
24319,Troy Williams,IND,2016,79,21.5,53.0,473,75,92,93,80,95,66,89,34,75,21,61,76,3.96,391.9
49891,Deandre Bembry,SJH,2016,77,22.0,221.0,559,71,86,97,86,99,61,93,38,17,86,52,96,6.04,945.1
24266,Alex Poythress,Ken,2016,81,22.8,7.0,288,96,86,57,87,92,84,91,24,70,70,31,17,3.58,188.6
24267,Robert Carter,UMD,2016,81,22.2,27.0,427,63,97,83,89,99,71,88,37,66,29,67,71,4.66,0.0
28292,Jameel Warney,SBS,2016,80,22.4,343.0,496,100,100,81,100,99,95,100,5,5,98,9,69,8.39,26.9
54842,Henry Ellenson,Mar,2016,82,19.5,9.0,599,64,98,77,97,100,66,94,36,30,67,67,69,4.11,157.6
42410,Taurean Prince,BAY,2016,79,22.3,188.0,581,57,89,95,97,90,54,78,51,62,45,82,77,4.01,1489.5
24253,Shaq Goodwin,MEM,2016,81,21.8,35.0,472,87,99,89,96,97,77,96,18,51,71,23,58,4.42,0.0
81426,Pascal Siakam,NMS,2016,81,22.2,400.0,572,77,100,85,100,100,75,99,18,42,92,24,63,7.93,1963.4
72600,Marquese Chriss,WAS,2016,81,19.0,58.0,465,72,99,85,98,77,79,98,29,82,48,59,35,3.29,889.6
49976,Jamal Murray,Ken,2016,76,19.3,10.0,671,89,71,86,81,91,24,49,78,92,73,100,76,6.37,2076.9
24155,Kyle Wiltjer,ZAG,2016,82,23.7,20.0,595,89,90,34,85,96,39,66,62,95,84,98,61,6.98,43.9
29195,Damyean Dotson,UH,2016,77,22.2,262.0,339,96,48,60,84,91,49,59,82,83,93,94,51,5.05,848.3
24256,Perry Ellis,KU,2016,79,22.8,32.0,586,95,84,59,90,96,53,85,27,93,93,65,54,6.23,0.0
24209,Malcolm Brogdon,UV,2016,77,23.6,98.0,632,93,63,91,40,92,46,78,61,89,96,94,90,7.22,1675.4
42429,Georges Niang,ISU,2016,79,23.0,71.0,660,86,87,84,84,98,49,83,43,88,61,86,91,5.72,742.5
24216,Anthony Gill,UV,2016,80,23.7,94.0,452,98,86,73,97,95,91,100,12,93,92,17,34,6.14,340.6
44074,Stefan Jankovic,HAW,2016,83,22.9,204.0,419,96,95,60,86,93,78,94,39,76,78,61,53,5.3,0.0
73131,Malik Beasley,FSU,2016,76,19.6,39.0,506,86,55,89,88,93,55,81,56,85,80,92,60,4.16,1170.8
41248,Jake Layman,UMD,2016,80,22.3,69.0,368,96,94,93,68,94,52,65,73,95,44,96,47,4.55,516.5
45134,Beau Beech,UNF,2016,81,22.3,121.0,432,95,80,92,61,95,39,52,88,97,73,99,73,4.2,0.0
80300,Ben Bentil,PRF,2016,81,21.3,95.0,702,90,94,79,98,97,71,99,45,32,95,84,45,5.95,9.9
72279,Brandon Ingram,DUK,2016,79,18.8,3.0,652,71,98,93,91,98,38,63,61,94,81,99,76,5.06,2013.3
24236,Jarrod Uthoff,IOW,2016,81,23.1,114.0,594,89,100,86,81,97,46,75,57,71,99,87,46,5.53,84.0
42415,Buddy Hield,UOK,2016,76,23.5,156.0,810,99,83,94,78,97,40,75,76,100,61,100,78,7.82,2279.2
41493,Diamond Stone,UMD,2016,83,19.4,6.0,386,97,98,58,94,81,91,99,3,3,73,5,20,4.21,24.3
24294,A.J. Hammons,PUB,2016,84,23.8,75.0,442,89,1,1,88,1,64,86,17,81,49,23,1,5.01,163.2
44085,Tyrone Wallace,CAL,2016,77,22.1,92.0,490,29,74,80,58,88,17,32,36,33,45,54,97,3.67,428.6
56848,Julian Jacobs,USC,2016,76,21.6,303.0,406,28,71,94,62,86,39,53,27,49,17,41,100,3.11,0.0
42846,Isaiah Miles,SJH,2016,80,22.1,306.0,469,99,90,58,96,99,76,96,60,72,99,92,36,7.09,0.0
56862,Isaiah Taylor,TXA,2016,75,22.0,323.0,519,63,58,79,34,60,21,39,28,26,81,36,99,4.43,609.5
42639,Josh Adams,WYO,2016,74,22.6,400.0,614,86,75,93,43,88,24,42,69,75,43,100,98,5.63,0.0
24276,Rosco Allen,STA,2016,82,23.2,79.0,473,73,51,90,83,94,47,69,68,42,81,79,64,3.73,0.0
42311,Devin Thomas,WF,2016,81,22.1,268.0,493,67,97,61,98,100,72,95,3,3,42,5,81,2.99,0.0
24207,Ryan Anderson,UA,2016,81,23.6,134.0,483,92,84,68,100,100,89,100,16,40,69,18,36,5.52,0.0
24659,Prince Ibeh,TXA,2016,82,22.1,58.0,170,25,100,28,94,73,98,89,8,8,11,7,11,1.37,0.0
33247,Brannen Greene,KU,2016,79,21.5,35.0,134,97,19,26,4,40,7,3,88,99,17,73,37,1.83,0.0
30401,Andrew Andrews,WAS,2016,74,23.1,318.0,712,86,18,97,79,94,18,40,55,81,68,95,97,6.01,0.0
28818,Tyler Harris,AU,2016,82,22.8,131.0,487,49,78,68,98,95,80,97,24,32,50,33,59,2.1,0.0
59503,De'Aaron Fox,Ken,2017,75,19.5,6.0,634,64,4,1,42,1,25,52,24,16,60,40,1,5.28,2065.1
72281,Dennis Smith jr,NCS,2017,74,19.6,7.0,387,27,4,1,38,1,35,49,56,36,26,67,1,4.1,1030.7
85714,De'Anthony Melton,USC,2017,74,19.1,134.0,328,34,4,1,74,1,58,70,43,27,30,49,1,3.36,1213.3
27051,Xavier Rathan-Mayes,FSU,2017,76,23.2,46.0,389,33,33,60,43,25,13,23,54,34,40,73,80,3.36,117.8
76941,Elijah Long,MSM,2017,73,20.5,400.0,409,19,17,91,8,90,4,5,37,64,24,91,97,3.45,0.0
58529,Marcus Keene,CMU,2017,71,22.2,400.0,601,54,10,51,27,57,8,22,71,48,46,100,98,4.88,0.0
84076,OG Anunoby,IND,2017,80,20.0,294.0,142,90,31,18,39,4,71,57,51,46,52,36,5,1.91,1612.2
56784,Damonte Dodd,UMD,2017,83,23.1,123.0,137,63,98,10,92,23,100,92,2,2,12,1,13,1.5,0.0
73147,Jawun Evans,OSC,2017,72,20.9,27.0,464,47,19,94,35,45,11,24,32,39,80,71,100,4.95,421.1
56664,Peter Jok,IOW,2017,78,23.3,304.0,326,45,31,70,37,68,24,32,67,25,42,60,83,4.22,0.0
85624,Jaquori Mclaughlin,OSU,2017,76,19.4,95.0,368,30,66,80,11,47,2,2,75,66,36,87,88,1.28,10.9
54857,Isaac Humphries,Ken,2017,83,19.5,47.0,115,28,86,21,87,44,91,72,4,4,61,5,8,1.35,56.4
