Name,Season,Height,Weight,Position,School,Class,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,ORTG,DRTG,AST/TOV,NBA GP,NBA MPG,NBA WS,NBA WSP48,NBA BPM,NBA VORP,NBA PLUSMINUS,Tensorflow,LogReg,GBM,MODEL TOTAL
Ochai Agbaji,2020-21,77,210,SG,Kansas,3,132.0,30,30,1010,17.1,0.552,0.534,0.593,0.21100000000000002,386.0,3.2,9.0,6.1,10.9,1.9,1.5,9.6,21.0,2.3,1.5,3.8,0.15,4.4,2.3,6.7,113.0,100.1,1.37,?,?,?,?,?,?,?,0.5499175999999999,0,0,6.549916566569532
Brady Manek,2020-21,81,230,PF,Oklahoma,4,117.0,25,20,628,18.5,0.539,0.523,0.54,0.127,246.0,5.6,16.9,11.2,6.7,1.2,3.3,8.1,22.1,1.4,0.8,2.2,0.139,4.3,0.7,5.0,110.5,101.5,0.95,?,?,?,?,?,?,?,0.48780307,0,0,6.48776904186817
Derrick Alston,2020-21,81,190,SG/SF,Boise State,4,88.21034870641171,28,28,910,19.3,0.586,0.54,0.503,0.314,436.0,2.2,11.0,6.7,13.7,1.3,0.8,14.1,26.3,2.4,1.4,3.8,0.168,4.6,0.4,5.0,110.9,99.2,0.91,?,?,?,?,?,?,?,0.3741849,0,0,6.3731858134271215
Isaiah Livers,2020-21,79,230,SF/PF,Michigan,4,133.0,23,23,726,20.5,0.605,0.57,0.52,0.242,281.0,4.5,16.6,11.1,11.5,1.1,2.3,9.5,19.8,2.3,1.2,3.5,0.19399999999999998,6.8,3.6,10.4,124.0,98.0,1.77,?,?,?,?,?,?,?,0.36776644,0,0,6.367763583133602
Yves Pons,2020-21,78,215,SF/PF,Tennessee,4,127.0,26,26,740,16.0,0.5379999999999999,0.51,0.321,0.19699999999999998,211.0,6.5,14.7,10.6,5.0,1.3,7.4,11.3,16.2,1.1,1.6,2.7,0.147,1.6,4.0,5.5,109.3,93.1,0.7,?,?,?,?,?,?,?,0.27402478,0,0,6.273989617855867
Sam Hauser,2020-21,80,220,SF,Virginia,4,83.0,25,25,856,25.2,0.635,0.611,0.517,0.16399999999999998,357.0,3.4,21.6,13.1,11.6,1.1,1.4,7.6,23.7,3.3,1.2,4.6,0.213,8.1,2.0,10.1,125.1,100.4,1.73,?,?,?,?,?,?,?,0.27704728,0,0,6.269420027733396
DJ Stewart,2020-21,78,205,SG/SF,Mississippi State,2,116.0,32,32,1118,16.8,0.52,0.475,0.32899999999999996,0.282,497.0,1.6,9.1,5.6,19.1,2.3,0.6,16.3,27.1,2.0,1.5,3.5,0.124,2.5,0.8,3.3,103.5,101.6,1.02,?,?,?,?,?,?,?,0.257388,0,0,6.257385217877528
Taevion Kinsey,2020-21,77,185,SG,Marshall,3,88.21034870641171,22,22,829,23.3,0.602,0.563,0.14800000000000002,0.319,425.0,6.3,11.7,9.1,14.9,1.1,0.9,10.5,23.6,3.1,0.9,4.0,0.191,4.7,-1.1,3.6,121.7,104.3,1.6,?,?,?,?,?,?,?,0.23355407,0,0,6.2325142323973335
Boogie Ellis,2020-21,75,180,PG,Memphis,2,38.0,27,14,623,13.6,0.519,0.5,0.556,0.258,231.0,1.2,8.4,4.9,11.8,2.6,1.1,12.8,22.1,0.8,1.4,2.3,0.146,1.0,3.0,3.9,102.7,91.3,1.03,?,?,?,?,?,?,?,0.08240232,0,0,6.197531706493169
Landers Nolley,2020-21,79,220,SG,Memphis,2,67.0,27,24,738,16.0,0.547,0.518,0.55,0.205,318.0,3.6,12.8,8.2,13.0,2.3,0.6,16.2,25.1,1.2,1.8,2.9,0.159,2.8,2.3,5.1,103.1,90.7,0.75,?,?,?,?,?,?,?,0.34813857,0,0,6.129762888004383
MJ Walker,2020-21,77,215,SG,Florida State,4,28.0,23,22,672,15.4,0.5920000000000001,0.5489999999999999,0.495,0.363,270.0,1.9,7.5,4.9,15.8,1.8,1.6,20.3,22.0,1.4,0.7,2.1,0.125,3.1,1.4,4.6,108.6,103.7,0.97,?,?,?,?,?,?,?,0.6621928,0,0,6.1186930402860185
Ayo Dosunmu,2020-21,77,200,PG/SG,Illinois,3,32.0,28,28,984,23.9,0.5660000000000001,0.526,0.193,0.33299999999999996,572.0,3.9,15.9,10.4,29.2,1.8,0.6,15.7,29.5,3.3,1.8,5.1,0.207,6.4,3.1,9.5,112.9,96.8,1.58,?,?,?,?,?,?,?,0.6324059,0,0,6.114652294199146
